,incompat,cruelty,desertn,nonsupp,alcohol,felony,impotenc,insanity,separate
Alabama,1,1,1,1,1,1,1,1,1
Alaska,1,1,1,0,1,1,1,1,0
Arizona,1,0,0,0,0,0,0,0,0
Arkansas,0,1,1,1,1,1,1,1,1
California,1,0,0,0,0,0,0,1,0
Colorado,1,0,0,0,0,0,0,0,0
Connecticut,1,1,1,1,1,1,0,1,1
Delaware,1,0,0,0,0,0,0,0,1
Florida,1,0,0,0,0,0,0,1,0
Georgia,1,1,1,0,1,1,1,1,0
Hawaii,1,0,0,0,0,0,0,0,1
Idaho,1,1,1,1,1,1,0,1,1
Illinois,0,1,1,0,1,1,1,0,0
Indiana,1,0,0,0,0,1,1,1,0
Iowa,1,0,0,0,0,0,0,0,0
Kansas,1,1,1,0,1,1,1,1,0
Kentucky,1,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,1,0,0,1
Maine,1,1,1,1,1,0,1,1,0
Maryland,0,1,1,0,0,1,1,1,1
Massachusetts,1,1,1,1,1,1,1,0,1
Michigan,1,0,0,0,0,0,0,0,0
Minnesota,1,0,0,0,0,0,0,0,0
Mississippi,1,1,1,0,1,1,1,1,0
Missouri,1,0,0,0,0,0,0,0,0
Montana,1,0,0,0,0,0,0,0,0
Nebraska,1,0,0,0,0,0,0,0,0
Nevada,1,0,0,0,0,0,0,1,1
New.Hampshire,1,1,1,1,1,1,1,0,0
New.Jersey,0,1,1,0,1,1,0,1,1
New.Mexico,1,1,1,0,0,0,0,0,0
New.York,0,1,1,0,0,1,0,0,1
North.Carolina,0,0,0,0,0,0,1,1,1
North.Dakota,1,1,1,1,1,1,1,1,0
Ohio,1,1,1,0,1,1,1,0,1
Oklahoma,1,1,1,1,1,1,1,1,0
Oregon,1,0,0,0,0,0,0,0,0
Pennsylvania,0,1,1,0,0,1,1,1,0
Rhode.Island,1,1,1,1,1,1,1,0,1
South.Carolina,0,1,1,0,1,0,0,0,1
South.Dakota,0,1,1,1,1,1,0,0,0
Tennessee,1,1,1,1,1,1,1,0,0
Texas,1,1,1,0,0,1,0,1,1
Utah,0,1,1,1,1,1,1,1,0
Vermont,0,1,1,1,0,1,0,1,1
Virginia,0,1,0,0,0,1,0,0,1
Washington,1,0,0,0,0,0,0,0,1
West.Virginia,1,1,1,0,1,1,0,1,1
Wisconsin,1,0,0,0,0,0,0,0,1
Wyoming,1,0,0,0,0,0,0,1,1
