,0,1,2,3,4,5,6,7,8
0,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0
2,1,0,0,0,0,0,0,0,0
3,0,1,1,1,1,1,1,1,1
4,1,0,0,0,0,0,0,1,0
5,1,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,0,1,1
7,1,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,1,0
9,1,1,1,0,1,1,1,1,0
10,1,0,0,0,0,0,0,0,1
11,1,1,1,1,1,1,0,1,1
12,0,1,1,0,1,1,1,0,0
13,1,0,0,0,0,1,1,1,0
14,1,0,0,0,0,0,0,0,0
15,1,1,1,0,1,1,1,1,0
16,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,0,1
18,1,1,1,1,1,0,1,1,0
19,0,1,1,0,0,1,1,1,1
20,1,1,1,1,1,1,1,0,1
21,1,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0
23,1,1,1,0,1,1,1,1,0
24,1,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,1,1
28,1,1,1,1,1,1,1,0,0
29,0,1,1,0,1,1,0,1,1
30,1,1,1,0,0,0,0,0,0
31,0,1,1,0,0,1,0,0,1
32,0,0,0,0,0,0,1,1,1
33,1,1,1,1,1,1,1,1,0
34,1,1,1,0,1,1,1,0,1
35,1,1,1,1,1,1,1,1,0
36,1,0,0,0,0,0,0,0,0
37,0,1,1,0,0,1,1,1,0
38,1,1,1,1,1,1,1,0,1
39,0,1,1,0,1,0,0,0,1
40,0,1,1,1,1,1,0,0,0
41,1,1,1,1,1,1,1,0,0
42,1,1,1,0,0,1,0,1,1
43,0,1,1,1,1,1,1,1,0
44,0,1,1,1,0,1,0,1,1
45,0,1,0,0,0,1,0,0,1
46,1,0,0,0,0,0,0,0,1
47,1,1,1,0,1,1,0,1,1
48,1,0,0,0,0,0,0,0,1
49,1,0,0,0,0,0,0,1,1
